Lesson Code,Lesson Name,Teacher Name,Lesson Date,Lesson Hours,Lesson Credit
ME303.01 LAB 1,COMPUTER APPLICATIONS IN MECHANICAL ENG LAB,📅 W,⏱️ 1,,
ME324.01,MACHINE DESIGN I,SERTAN ALKAN,📅 MMWW,⏱️ 5678,4 Cr 6 ECTS
ME331.01,MECHATRONICS,SİNAN ÖNCÜ,📅 MMW,⏱️ 344,3 Cr 5 ECTS
ME353.01,FLUID MECHANICS I,KUNT ATALIK,📅 MMWW,⏱️ 7823,4 Cr 6 ECTS
ME411.01,MATERIALS ENGINEERING,GÜLİN VARDAR,📅 TTTh,⏱️ 455,3 Cr 5 ECTS
ME424.01,MACHINE DESIGN II,NURİ BÜLENT ERSOY,📅 WWThTh,⏱️ 7823,4 Cr 6 ECTS
ME426.01,MECHANISMS,EVREN SAMUR,📅 TFF,⏱️ 623,3 Cr 5 ECTS
ME429.01,MECHANICAL &THERMAL DESIGN,ÇETİN YILMAZ,📅 WW,⏱️ 23,4 Cr 8 ECTS
ME429.01 P.S. 1,MECHANICAL &THERMAL DESIGN P.S.,📅 TT,⏱️ 23,,
ME429.02,MECHANICAL &THERMAL DESIGN,HASAN BEDİR,📅 WW,⏱️ 23,4 Cr 8 ECTS
ME429.02 P.S. 1,MECHANICAL &THERMAL DESIGN P.S.,📅 TT,⏱️ 23,,
ME446.01,APPLIED SOLID MECHANICS,ŞEBNEM ÖZÜPEK,📅 ThThF,⏱️ 674,3 Cr 5 ECTS
ME466.01,THERMODYNAMICS II,FATMA NAZLI DÖNMEZER AKGÜN,📅 MMW,⏱️ 566,3 Cr 5 ECTS
ME478.01,DESIGN OF THERMAL SYSTEMS,HAKAN ERTÜRK,📅 MMW,⏱️ 344,3 Cr 5 ECTS
ME483.01,SP.TOP.PRODUCT DESIGN AND DEV.,SABRİ ALTINTAŞ,📅 TTTh,⏱️ 788,3 Cr 5 ECTS
ME492.01,PROJECT,HASAN BEDİR,📅 Th,⏱️ 4,4 Cr 8 ECTS
ME501.01,ADVANCED ENGINEERING MATHEMATICS I,FATMA NAZLI DÖNMEZER AKGÜN,📅 MWW,⏱️ 445,3 Cr 8 ECTS
ME503.01,MECHANICS OF CONTINUA I,AKIN TEZEL,📅 TTThTh,⏱️ 7878,4 Cr 8 ECTS
ME511.01,PRINCIPLES OF MAT.SCIENCE&ENG.,GÜLİN VARDAR,📅 TThTh,⏱️ 634,3 Cr 8 ECTS
ME523.01,ELASTICITY,GÜNAY ANLAŞ,📅 TTTh,⏱️ 342,3 Cr 8 ECTS
ME537.01,STATE SPACE CONTROL THEORY,SİNAN ÖNCÜ,📅 MWW,⏱️ 567,3 Cr 8 ECTS
ME551.01,ADVANCED FLUID MECHANICS,ALİ ECDER,📅 MMW,⏱️ 238,3 Cr 8 ECTS
ME560.01,ADVANCED THERMODYNAMICS,HASAN BEDİR,📅 TThTh,⏱️ 556,3 Cr 8 ECTS
ME561.01,CONDUCTION HEAT TRANSFER,HAKAN ERTÜRK,📅 MWW,⏱️ 623,3 Cr 8 ECTS
ME579.01,GRADUATE SEMINAR,ŞEBNEM ÖZÜPEK,📅 F,⏱️ 1,0 Cr 2 ECTS
ME599.01,GUIDED RESEARCH,SERTAN ALKAN,,,0 Cr 8 ECTS
ME599.02,GUIDED RESEARCH,GÜNAY ANLAŞ,,,0 Cr 8 ECTS
ME599.03,GUIDED RESEARCH,KUNT ATALIK,,,0 Cr 8 ECTS
ME599.04,GUIDED RESEARCH,CAN AYDINER,,,0 Cr 8 ECTS
ME599.05,GUIDED RESEARCH,HASAN BEDİR,,,0 Cr 8 ECTS
ME599.06,GUIDED RESEARCH,MURAT ÇELİK,,,0 Cr 8 ECTS
ME599.07,GUIDED RESEARCH,FATMA NAZLI DÖNMEZER AKGÜN,,,0 Cr 8 ECTS
ME599.08,GUIDED RESEARCH,ALİ ECDER,,,0 Cr 8 ECTS
ME599.09,GUIDED RESEARCH,NURİ BÜLENT ERSOY,,,0 Cr 8 ECTS
ME599.10,GUIDED RESEARCH,HAKAN ERTÜRK,,,0 Cr 8 ECTS
ME599.11,GUIDED RESEARCH,SİNAN ÖNCÜ,,,0 Cr 8 ECTS
ME599.13,GUIDED RESEARCH,ŞEBNEM ÖZÜPEK,,,0 Cr 8 ECTS
ME599.14,GUIDED RESEARCH,EVREN SAMUR,,,0 Cr 8 ECTS
ME599.15,GUIDED RESEARCH,FAZIL ÖNDER SÖNMEZ,,,0 Cr 8 ECTS
ME599.16,GUIDED RESEARCH,GÜLİN VARDAR,,,0 Cr 8 ECTS
ME599.17,GUIDED RESEARCH,ÇETİN YILMAZ,,,0 Cr 8 ECTS
ME618.01,MECHANICAL BEHAVIOUR OF MATERIALS,CAN AYDINER,📅 MWW,⏱️ 567,3 Cr 8 ECTS
ME622.01,ADVANCED VIBRATIONS,ÇETİN YILMAZ,📅 MMW,⏱️ 781,3 Cr 8 ECTS
ME634.01,ROBOTICS,EVREN SAMUR,📅 TTF,⏱️ 121,3 Cr 8 ECTS
ME690.01,M.S.THESIS,SERTAN ALKAN,,,0 Cr 60 ECTS
ME690.02,M.S.THESIS,GÜNAY ANLAŞ,,,0 Cr 60 ECTS
ME690.03,M.S.THESIS,KUNT ATALIK,,,0 Cr 60 ECTS
ME690.04,M.S.THESIS,CAN AYDINER,,,0 Cr 60 ECTS
ME690.05,M.S.THESIS,HASAN BEDİR,,,0 Cr 60 ECTS
ME690.06,M.S.THESIS,MURAT ÇELİK,,,0 Cr 60 ECTS
ME690.07,M.S.THESIS,FATMA NAZLI DÖNMEZER AKGÜN,,,0 Cr 60 ECTS
ME690.08,M.S.THESIS,ALİ ECDER,,,0 Cr 60 ECTS
ME690.09,M.S.THESIS,NURİ BÜLENT ERSOY,,,0 Cr 60 ECTS
ME690.10,M.S.THESIS,HAKAN ERTÜRK,,,0 Cr 60 ECTS
ME690.11,M.S.THESIS,SİNAN ÖNCÜ,,,0 Cr 60 ECTS
ME690.13,M.S.THESIS,ŞEBNEM ÖZÜPEK,,,0 Cr 60 ECTS
ME690.14,M.S.THESIS,EVREN SAMUR,,,0 Cr 60 ECTS
ME690.15,M.S.THESIS,FAZIL ÖNDER SÖNMEZ,,,0 Cr 60 ECTS
ME690.16,M.S.THESIS,GÜLİN VARDAR,,,0 Cr 60 ECTS
ME690.17,M.S.THESIS,ÇETİN YILMAZ,,,0 Cr 60 ECTS
ME699.01,GUIDED RESEARCH I,SERTAN ALKAN,,,4 Cr 8 ECTS
